depth	[seq_length, batch_size, hidden_size]	PyTorch(ms)
6	[50, 256, 256]	2.7061248779296876
6	[50, 256, 512]	4.736307144165039
6	[50, 256, 1024]	12.085350036621094
1	[50, 256, 256]	0.7267327785491944
2	[50, 256, 256]	1.154355239868164
3	[50, 256, 256]	1.5374336242675781
4	[50, 256, 256]	1.946726417541504
5	[50, 256, 256]	2.450432014465332
6	[50, 256, 256]	2.7076608657836916
1	[50, 256, 1024]	2.037555122375488
2	[50, 256, 1024]	3.6374526977539063
3	[50, 256, 1024]	5.379584121704101
4	[50, 256, 1024]	7.492403411865235
5	[50, 256, 1024]	10.248397064208984
6	[50, 256, 1024]	12.12743682861328
6	[32, 256, 256]	1.785036849975586
6	[64, 256, 256]	2.7882495880126954
6	[128, 256, 256]	5.378764724731445
6	[32, 256, 1024]	6.076108932495117
6	[64, 256, 1024]	12.123238372802735
6	[128, 256, 1024]	24.178585815429688
