hidden	seqlen	flash_attn
128	128	0.08046591758728028
256	128	0.06649856090545654
512	128	0.19105791091918944
768	128	0.41023487091064453
1024	128	0.7517593383789063
1536	128	1.6551936340332032
2048	128	2.822021179199219
4096	128	11.257630615234374
128	256	0.06739967823028564
256	256	0.15359999656677245
512	256	0.4508262252807617
768	256	0.9699327850341797
1024	256	1.632542724609375
1536	256	3.557478332519531
2048	256	6.115717163085938
4096	256	23.9180810546875
