hidden	seqlen	triton_flash_attn
128	128	0.0796672010421753
256	128	0.07663616180419922
512	128	0.2294374465942383
768	128	0.4924825668334961
1024	128	0.8732672119140625
1536	128	1.9379609680175782
2048	128	3.331829833984375
4096	128	13.05049072265625
