length	hidden	ft(ms)	flash attention(ms)	triton	cutlass(ms)
128	128	0.0220672	0.0805	0.0797	0.0548864
256	128	0.0611328	0.0665	0.0766	0.163277
512	128	0.178074	0.1911	0.2294	0.561408
768	128	0.385843	0.4102	0.4925	1.19747
1024	128	0.688077	0.7518	0.8733	2.08015
1536	128	1.51506	1.6552	1.9380	4.62756
2048	128	2.63219	2.8220	3.3318	8.16502
4096	128	10.565	11.2576	13.0505	32.1369
